"","source","author_id","created_at","conversation_id","lang","reply_settings","referenced_tweets","id","text","in_reply_to_user_id","retweetcount","reply_count","like_count","quote_count","clean_tweets","clean_tokens","word_count"
"1","Twitter Web App",282220986,2022-01-17 23:59:59,1483227631675797504,"en","everyone","[{'type': 'retweeted', 'id': '1483167691825418241'}]",1483227631675797504,"RT @MaximeBernier: Some mainstream media are finally recognizing that the covid hysteria has gone too far and are beginning to question it.…",NA,931,0,0,0,"some mainstream media are finally recognizing that the covid hysteria has gone too far and are beginning to question it","some,mainstream,media,are,finally,recognizing,that,the,covid,hysteria,has,gone,too,far,and,are,beginning,to,question,it",20
"2","Talon Android",932214247,2022-01-17 23:59:58,1483227630795165696,"en","everyone","[{'type': 'retweeted', 'id': '1482901087296311300'}]",1483227630795165696,"RT @DrJ56013122: I have yet to see a single research article convincingly showing that a booster reduces transmission or reduces the likeli…",NA,30,0,0,0,"i have yet to see a single research article convincingly showing that a booster reduces transmission or reduces the likeli","i,have,yet,to,see,a,single,research,article,convincingly,showing,that,a,booster,reduces,transmission,or,reduces,the,likeli",20
"3","Twitter Web App",110971001,2022-01-17 23:59:58,1483227630052720640,"en","everyone","[{'type': 'retweeted', 'id': '1482902339304390658'}]",1483227630052720640,"RT @birb_k: Updated Infection Fatality Rate (IFR) from Dec study Ioannidis, Axfors. Latest data (pre-Omicron), lowers IFR by ~half for seve…",NA,58,0,0,0,"updated infection fatality rate ifr from dec study ioannidis axfors latest data preomicron lowers ifr by ~half for seve","updated,infection,fatality,rate,ifr,from,dec,study,ioannidis,axfors,latest,data,preomicron,lowers,ifr,by,~half,for,seve",19
"4","Twitter Web App",22078562,2022-01-17 23:59:58,1483227629033508864,"en","everyone","[{'type': 'retweeted', 'id': '1482899763787927553'}]",1483227629033508864,"RT @miblogestublog: omicron, waiting for me to leave my house https://t.co/OEH0WqkuoH",NA,11946,0,0,0,"omicron waiting for me to leave my house ","omicron,waiting,for,me,to,leave,my,house,",9
"5","Twitter Web App",2374260762,2022-01-17 23:59:57,1483227626349408256,"en","everyone","[{'type': 'retweeted', 'id': '1483190165413982209'}]",1483227626349408256,"RT @LesStonehouse: Disappointed certain ABC journalists suggesting on air that Omicron is ‘hopefully’ the final phase of the pandemic &amp; als…",NA,288,0,0,0,"disappointed certain abc journalists suggesting on air that omicron is hopefully the final phase of the pandemic amp als","disappointed,certain,abc,journalists,suggesting,on,air,that,omicron,is,hopefully,the,final,phase,of,the,pandemic,amp,als",19
"6","Twitter for iPad",17662200,2022-01-17 23:59:57,1483227625405353984,"en","everyone","[{'type': 'quoted', 'id': '1483103440486211588'}]",1483227625405353984,"Meanwhile, in the United States… #COVID19 #Omicron https://t.co/6fjyCQEg3T",NA,0,0,0,0,"meanwhile in the united states   ","meanwhile,in,the,united,states,,,",8
"7","Twitter for iPhone",23086574,2022-01-17 23:59:57,1483227625258565632,"en","everyone","[{'type': 'retweeted', 'id': '1483227010029785088'}]",1483227625258565632,"RT @washingtonpost: False negative results have caused frustration and even heartache for some people who later got back positive PCR resul…",NA,80,0,0,0,"false negative results have caused frustration and even heartache for some people who later got back positive pcr resul","false,negative,results,have,caused,frustration,and,even,heartache,for,some,people,who,later,got,back,positive,pcr,resul",19
"8","Twitter for iPhone",18658713,2022-01-17 23:59:57,1483227624361316352,"en","everyone","[{'type': 'retweeted', 'id': '1483044009505439745'}]",1483227624361316352,"RT @BAshbyMD: Omicron exacerbates chronic illnesses such as CVD, CKD, COPD, cancer etc. In cardiology, we have seen increased heart attacks…",NA,9698,0,0,0,"omicron exacerbates chronic illnesses such as cvd ckd copd cancer etc in cardiology we have seen increased heart attacks","omicron,exacerbates,chronic,illnesses,such,as,cvd,ckd,copd,cancer,etc,in,cardiology,we,have,seen,increased,heart,attacks",19
"9","Twitter for iPhone",21858124,2022-01-17 23:59:57,1483227624252055552,"en","everyone","[{'type': 'retweeted', 'id': '1483198811547869185'}]",1483227624252055552,"RT @tomaspueyo: This is the end of the pandemic:
• Vaccines reduce deaths by 90%
• Omicron kills 90% less
• Treatments save 90% of ppl

The…",NA,333,0,0,0," vaccines reduce deaths by 90
 omicron kills 90 less
 treatments save 90 of ppl

the",",vaccines,reduce,deaths,by,90
,omicron,kills,90,less
,treatments,save,90,of,ppl

the",15
"10","Twitter for Android",36860872,2022-01-17 23:59:56,1483227622309908480,"en","everyone","[{'type': 'retweeted', 'id': '1483226660170354688'}]",1483227622309908480,"RT @DeadlineWH: ""What would've happened if we had gone through Omicron and we did not have 63% of the country fully vaccinated? The resilie…",NA,55,0,0,0,"what wouldve happened if we had gone through omicron and we did not have 63 of the country fully vaccinated the resilie","what,wouldve,happened,if,we,had,gone,through,omicron,and,we,did,not,have,63,of,the,country,fully,vaccinated,the,resilie",22
